Flare ID,Begin Time,Peak Time,End Time,Class Type,Source Location,Active Region,Instruments,Linked Events Activity ID
2015-06-29T17:58:00-FLR-001,2015-06-29T17:58Z,2015-06-29T18:07Z,2015-06-29T18:14Z,C2.4,N16E64,12373,GOES15: SEM/XRS 1.0-8.0,None
2015-07-03T12:47:00-FLR-001,2015-07-03T12:47Z,2015-07-03T12:51Z,2015-07-03T12:53Z,M1.5,S17E65,12378,GOES15: SEM/XRS 1.0-8.0,None
2015-07-06T08:24:00-FLR-001,2015-07-06T08:24Z,2015-07-06T08:44Z,2015-07-06T08:59Z,M1.0,N15E37,12381,GOES15: SEM/XRS 1.0-8.0,None
2015-07-06T20:32:00-FLR-001,2015-07-06T20:32Z,2015-07-06T20:40Z,2015-07-06T20:50Z,M1.7,N13E34,12381,GOES15: SEM/XRS 1.0-8.0,None
2015-07-19T09:22:00-FLR-001,2015-07-19T09:22Z,2015-07-19T10:40Z,2015-07-19T13:02Z,C2.1,S25W62,,GOES15: SEM/XRS 1.0-8.0,2015-07-19T09:48:00-CME-001
2015-08-20T05:05:00-FLR-001,2015-08-20T05:05Z,2015-08-20T05:27Z,2015-08-20T06:22Z,C3.4,S16E44,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-21T01:56:00-FLR-001,2015-08-21T01:56Z,2015-08-21T02:18Z,2015-08-21T02:36Z,M1.2,S12E38,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-21T09:34:00-FLR-001,2015-08-21T09:34Z,2015-08-21T09:48Z,2015-08-21T10:07Z,M1.4,S17E26,12403,GOES15: SEM/XRS 1.0-8.0,2015-08-21T10:24:00-CME-001
2015-08-21T19:10:00-FLR-001,2015-08-21T19:10Z,2015-08-21T20:34Z,2015-08-21T20:50Z,M1.1,S15E28,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-22T06:39:00-FLR-001,2015-08-22T06:39Z,2015-08-22T06:49Z,2015-08-22T06:59Z,M1.2,S15E13,12403,GOES15: SEM/XRS 1.0-8.0,2015-08-22T07:24:00-CME-001
