GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2013-03-17T06:00:00-GST-001,2013-03-17T06:00Z,2013-03-17T06:00Z,6,NOAA,2013-03-15T06:54:00-CME-001;2013-03-17T05:59:00-IPS-001;
2013-06-01T01:00:00-GST-001,2013-06-01T01:00Z,2013-06-01T01:00Z,6,NOAA,2013-05-31T15:45:00-HSS-001
2013-06-07T03:00:00-GST-001,2013-06-07T03:00Z,2013-06-07T03:00Z,6,NOAA,2013-06-02T20:24:00-CME-001
2013-06-29T03:00:00-GST-001,2013-06-29T03:00Z,2013-06-29T03:00Z,6,NOAA,None
2013-06-29T03:00:00-GST-001,2013-06-29T03:00Z,2013-06-29T06:00Z,7,NOAA,None
2013-10-02T03:00:00-GST-001,2013-10-02T03:00Z,2013-10-02T06:00Z,6,NOAA,2013-09-29T22:40:00-CME-001;2013-10-02T01:54:00-IPS-001;2013-10-02T02:47:00-MPC-001;
2013-12-08T00:00:00-GST-001,2013-12-08T00:00Z,2013-12-08T03:00Z,6,NOAA,2013-12-04T23:12:00-CME-001;2013-12-07T21:30:00-HSS-001;
2014-02-19T03:00:00-GST-001,2014-02-19T03:00Z,2014-02-19T06:00Z,6,NOAA,2014-02-16T14:15:00-CME-001;2014-02-19T03:10:00-IPS-001;
2014-02-20T03:00:00-GST-001,2014-02-20T03:00Z,2014-02-20T06:00Z,6,NOAA,2014-02-18T01:25:00-CME-001;2014-02-20T02:50:00-IPS-001;2014-02-20T05:14:00-MPC-001;
2014-02-27T18:00:00-GST-001,2014-02-27T18:00Z,2014-02-27T21:00Z,6,NOAA,2014-02-25T01:25:00-CME-001;2014-02-27T16:10:00-IPS-001;
2014-06-08T03:00:00-GST-001,2014-06-08T03:00Z,2014-06-08T06:00Z,6,NOAA,2014-06-04T13:25:00-CME-001;2014-06-07T16:09:00-IPS-001;2014-06-08T05:08:00-MPC-001;
2014-06-08T03:00:00-GST-001,2014-06-08T03:00Z,2014-06-08T09:00Z,6,NOAA,2014-06-04T13:25:00-CME-001;2014-06-07T16:09:00-IPS-001;2014-06-08T05:08:00-MPC-001;
