SEP ID,Event Time,Instruments,Linked Events Activity ID
2012-07-23T03:59:00-SEP-001,2012-07-23T03:59Z,STEREO A: IMPACT 13-100 MeV,2012-07-23T02:36:00-CME-001
2012-07-23T14:00:00-SEP-001,2012-07-23T14:00Z,GOES13: SEM/EPS >10 MeV,None
2012-07-24T18:27:00-SEP-001,2012-07-24T18:27Z,STEREO B: IMPACT 13-100 MeV,2012-07-23T02:36:00-CME-001
2012-08-19T20:21:00-SEP-001,2012-08-19T20:21Z,STEREO A: IMPACT 13-100 MeV,None
2012-08-31T22:31:00-SEP-001,2012-08-31T22:31Z,STEREO B: IMPACT 13-100 MeV,2012-08-31T20:36:00-CME-001
2012-09-01T13:35:00-SEP-001,2012-09-01T13:35Z,GOES13: SEM/EPS >10 MeV,2012-08-31T20:36:00-CME-001
2012-09-21T02:37:00-SEP-001,2012-09-21T02:37Z,STEREO A: IMPACT 13-100 MeV,2012-09-20T15:24:00-CME-001
2012-09-21T10:00:00-SEP-001,2012-09-21T10:00Z,STEREO B: IMPACT 13-100 MeV,2012-09-20T15:24:00-CME-001
2012-09-23T00:54:00-SEP-001,2012-09-23T00:54Z,STEREO B: IMPACT 13-100 MeV,None
2012-09-27T13:23:00-SEP-001,2012-09-27T13:23Z,STEREO A: IMPACT 13-100 MeV,2012-09-27T10:24:00-CME-001
2012-09-28T02:47:00-SEP-001,2012-09-28T02:47Z,STEREO A: IMPACT 13-100 MeV;,2012-09-27T23:36:00-FLR-001;2012-09-28T02:25:00-CME-001;
2012-09-28T03:00:00-SEP-001,2012-09-28T03:00Z,GOES13: SEM/EPS >10 MeV;,2012-09-27T23:36:00-FLR-001;2012-09-28T02:25:00-CME-001;
2012-09-28T05:21:00-SEP-001,2012-09-28T05:21Z,STEREO B: IMPACT 13-100 MeV;,2012-09-27T23:36:00-FLR-001;2012-09-28T02:25:00-CME-001;
2012-11-08T11:55:00-SEP-001,2012-11-08T11:55Z,STEREO A: IMPACT 13-100 MeV,2012-11-08T11:09:00-CME-001
2013-03-05T05:24:00-SEP-001,2013-03-05T05:24Z,STEREO A: IMPACT 13-100 MeV,None
2013-03-05T22:57:00-SEP-001,2013-03-05T22:57Z,STEREO B: IMPACT 13-100 MeV,2013-03-05T04:24:00-CME-001
2013-03-16T19:05:00-SEP-001,2013-03-16T19:05Z,GOES13: SEM/EPS >10 MeV,2013-03-15T06:54:00-CME-001
2013-04-11T08:12:00-SEP-001,2013-04-11T08:12Z,STEREO B: IMPACT 13-100 MeV;,2013-04-11T06:55:00-FLR-001;2013-04-11T07:36:00-CME-001;
2013-04-11T09:30:00-SEP-001,2013-04-11T09:30Z,GOES13: SEM/EPS >100 MeV;,2013-04-11T06:55:00-FLR-001;2013-04-11T07:36:00-CME-001;
2013-04-11T10:10:00-SEP-001,2013-04-11T10:10Z,GOES13: SEM/EPS >10 MeV;,2013-04-11T06:55:00-FLR-001;2013-04-11T07:36:00-CME-001;
2013-05-13T04:12:00-SEP-001,2013-05-13T04:12Z,STEREO B: IMPACT 13-100 MeV;,2013-05-13T01:53:00-FLR-001;2013-05-13T02:54:00-CME-001;
2013-05-13T18:02:00-SEP-001,2013-05-13T18:02Z,STEREO B: IMPACT 13-100 MeV;,2013-05-13T15:40:00-FLR-001;2013-05-13T16:18:00-CME-001;
2013-05-15T13:25:00-SEP-001,2013-05-15T13:25Z,GOES13: SEM/EPS >10 MeV;,2013-05-15T01:25:00-FLR-001;2013-05-15T02:18:00-CME-001;
